#PMF (in units of kcal/mol)
#    bin        df
  -175.0     0.286
  -165.0     0.285
  -155.0     0.283
  -145.0     0.281
  -135.0     0.278
  -125.0     0.266
  -115.0     0.251
  -105.0     0.247
   -95.0     0.243
   -85.0     0.237
   -75.0     0.231
   -65.0     0.224
   -55.0     0.216
   -45.0     0.205
   -35.0     0.193
   -25.0     0.176
   -15.0     0.157
    -5.0     0.145
     5.0     0.136
    15.0     0.120
    25.0     0.092
    35.0     0.050
    45.0     0.000
    55.0     0.048
    65.0     0.104
    75.0     0.141
    85.0     0.163
    95.0     0.180
   105.0     0.197
   115.0     0.216
   125.0     0.242
   135.0     0.266
   145.0     0.276
   155.0     0.279
   165.0     0.280
   175.0     0.287
